///////////////////////////////////////////////////////////////////////////////////
///                                                                             ///
///                                                                             ///
///              QQQ       UUU  UUU    KKK   KK    EEEEEEE    TTTTTTT           ///
///             Q   Q       u    U      K   K       E    E    T  T  T           ///
///            Q     Q      U    U      K  K        E  E         T              ///
///            Q     Q      U    U      KKK         EEEE         T              ///
///            Q QQQ Q      U    U      K  K        E  E         T              ///
///             Q   Q       U    U      K   K       E    E       T              ///
///              QQQ QQ      UUUU      KKK   KK    EEEEEEE      TTT             ///
///                                                                             ///
///                      Quantum Computing Simulator Ver Beta                   ///
///                                                                             ///
///        Copyright 2019-2020                                                  ///
///        QC Project Team, Ten-no Research Group                               ///
///        All rights Reserved.                                                 ///
///                                                                             ///
///////////////////////////////////////////////////////////////////////////////////
Start at 2021-02-02 17:45:43.028283
+-------------+
|  Job #   1  |
+-------------+
8 processes  x  4 threads  =  Total 32 cores
  215:  E[2-UpCCGSD] = -74.729194130401  <S**2> = 0.000000000000005  CPU Time =  1.30 (0.09 / step)
  216:  E[2-UpCCGSD] = -74.729195869397  <S**2> =-0.000000000000002  CPU Time =  1.29 (0.09 / step)
  217:  E[2-UpCCGSD] = -74.729201346696  <S**2> =-0.000000000000001  CPU Time =  1.30 (0.09 / step)
  218:  E[2-UpCCGSD] = -74.729203541710  <S**2> = 0.000000000000002  CPU Time =  1.30 (0.09 / step)
  219:  E[2-UpCCGSD] = -74.729206827561  <S**2> = 0.000000000000001  CPU Time =  1.31 (0.09 / step)
  220:  E[2-UpCCGSD] = -74.729210480623  <S**2> = 0.000000000000004  CPU Time =  1.30 (0.09 / step)
  221:  E[2-UpCCGSD] = -74.729215400108  <S**2> = 0.000000000000002  CPU Time =  1.30 (0.09 / step)
  222:  E[2-UpCCGSD] = -74.729222364337  <S**2> = 0.000000000000003  CPU Time =  1.30 (0.09 / step)
  223:  E[2-UpCCGSD] = -74.729225599759  <S**2> =-0.000000000000000  CPU Time =  1.30 (0.09 / step)
  224:  E[2-UpCCGSD] = -74.729229068536  <S**2> =-0.000000000000003  CPU Time =  1.30 (0.09 / step)
  225:  E[2-UpCCGSD] = -74.729230433505  <S**2> =-0.000000000000001  CPU Time =  1.30 (0.09 / step)
  226:  E[2-UpCCGSD] = -74.729233183370  <S**2> = 0.000000000000003  CPU Time =  1.31 (0.09 / step)
  227:  E[2-UpCCGSD] = -74.729236973731  <S**2> = 0.000000000000001  CPU Time =  1.30 (0.09 / step)
  228:  E[2-UpCCGSD] = -74.729241953700  <S**2> = 0.000000000000002  CPU Time =  1.30 (0.09 / step)
  229:  E[2-UpCCGSD] = -74.729247019186  <S**2> = 0.000000000000002  CPU Time =  1.30 (0.09 / step)
  230:  E[2-UpCCGSD] = -74.729251800713  <S**2> = 0.000000000000001  CPU Time =  1.31 (0.09 / step)
  231:  E[2-UpCCGSD] = -74.729259814081  <S**2> =-0.000000000000006  CPU Time =  1.30 (0.09 / step)
  232:  E[2-UpCCGSD] = -74.729263143578  <S**2> =-0.000000000000001  CPU Time =  1.30 (0.09 / step)
  233:  E[2-UpCCGSD] = -74.729270587519  <S**2> = 0.000000000000003  CPU Time =  1.30 (0.09 / step)
  234:  E[2-UpCCGSD] = -74.729274177063  <S**2> = 0.000000000000002  CPU Time =  1.30 (0.09 / step)
  235:  E[2-UpCCGSD] = -74.729276937689  <S**2> = 0.000000000000004  CPU Time =  1.30 (0.09 / step)
  236:  E[2-UpCCGSD] = -74.729282549288  <S**2> = 0.000000000000001  CPU Time =  1.30 (0.09 / step)
  237:  E[2-UpCCGSD] = -74.729287210857  <S**2> =-0.000000000000002  CPU Time =  1.31 (0.09 / step)
  238:  E[2-UpCCGSD] = -74.729290634763  <S**2> = 0.000000000000001  CPU Time =  1.30 (0.09 / step)
  239:  E[2-UpCCGSD] = -74.729293814823  <S**2> = 0.000000000000001  CPU Time =  1.30 (0.09 / step)
  240:  E[2-UpCCGSD] = -74.729295782147  <S**2> = 0.000000000000007  CPU Time =  1.30 (0.09 / step)
  241:  E[2-UpCCGSD] = -74.729297353433  <S**2> = 0.000000000000001  CPU Time =  1.30 (0.09 / step)
  242:  E[2-UpCCGSD] = -74.729298904907  <S**2> =-0.000000000000005  CPU Time =  1.30 (0.09 / step)
  243:  E[2-UpCCGSD] = -74.729300942637  <S**2> = 0.000000000000002  CPU Time =  1.30 (0.09 / step)
  244:  E[2-UpCCGSD] = -74.729305136922  <S**2> =-0.000000000000003  CPU Time =  1.30 (0.09 / step)
  245:  E[2-UpCCGSD] = -74.729306699743  <S**2> =-0.000000000000003  CPU Time =  2.50 (0.09 / step)
  246:  E[2-UpCCGSD] = -74.729310586218  <S**2> = 0.000000000000007  CPU Time =  1.30 (0.09 / step)
  247:  E[2-UpCCGSD] = -74.729320108406  <S**2> =-0.000000000000004  CPU Time =  1.30 (0.09 / step)
  248:  E[2-UpCCGSD] = -74.729324983375  <S**2> = 0.000000000000002  CPU Time =  1.29 (0.09 / step)
  249:  E[2-UpCCGSD] = -74.729328856362  <S**2> = 0.000000000000001  CPU Time =  1.30 (0.09 / step)
  250:  E[2-UpCCGSD] = -74.729332297505  <S**2> = 0.000000000000000  CPU Time =  1.31 (0.09 / step)
  251:  E[2-UpCCGSD] = -74.729335704651  <S**2> =-0.000000000000000  CPU Time =  1.30 (0.09 / step)
  252:  E[2-UpCCGSD] = -74.729341319618  <S**2> =-0.000000000000000  CPU Time =  1.31 (0.09 / step)
  253:  E[2-UpCCGSD] = -74.729344486352  <S**2> =-0.000000000000006  CPU Time =  1.30 (0.09 / step)
  254:  E[2-UpCCGSD] = -74.729348082621  <S**2> = 0.000000000000006  CPU Time =  1.30 (0.09 / step)
  255:  E[2-UpCCGSD] = -74.729352267598  <S**2> = 0.000000000000001  CPU Time =  1.31 (0.09 / step)
  256:  E[2-UpCCGSD] = -74.729357295903  <S**2> =-0.000000000000000  CPU Time =  1.30 (0.09 / step)
  257:  E[2-UpCCGSD] = -74.729359350340  <S**2> = 0.000000000000001  CPU Time =  1.30 (0.09 / step)
  258:  E[2-UpCCGSD] = -74.729360837208  <S**2> = 0.000000000000000  CPU Time =  1.30 (0.09 / step)
  259:  E[2-UpCCGSD] = -74.729362137063  <S**2> =-0.000000000000001  CPU Time =  1.31 (0.09 / step)
  260:  E[2-UpCCGSD] = -74.729363301157  <S**2> =-0.000000000000003  CPU Time =  1.30 (0.09 / step)
  261:  E[2-UpCCGSD] = -74.729366542508  <S**2> =-0.000000000000003  CPU Time =  1.30 (0.09 / step)
  262:  E[2-UpCCGSD] = -74.729369896240  <S**2> =-0.000000000000002  CPU Time =  1.30 (0.09 / step)
  263:  E[2-UpCCGSD] = -74.729372318093  <S**2> = 0.000000000000003  CPU Time =  1.31 (0.09 / step)
  264:  E[2-UpCCGSD] = -74.729375568796  <S**2> = 0.000000000000000  CPU Time =  1.30 (0.09 / step)
  265:  E[2-UpCCGSD] = -74.729381303050  <S**2> = 0.000000000000002  CPU Time =  1.31 (0.09 / step)
  266:  E[2-UpCCGSD] = -74.729387114347  <S**2> = 0.000000000000000  CPU Time =  1.31 (0.09 / step)
  267:  E[2-UpCCGSD] = -74.729391340992  <S**2> =-0.000000000000001  CPU Time =  1.30 (0.09 / step)
  268:  E[2-UpCCGSD] = -74.729394033528  <S**2> =-0.000000000000003  CPU Time =  1.30 (0.09 / step)
  269:  E[2-UpCCGSD] = -74.729397727256  <S**2> = 0.000000000000002  CPU Time =  1.30 (0.09 / step)
  270:  E[2-UpCCGSD] = -74.729401614144  <S**2> = 0.000000000000006  CPU Time =  1.30 (0.09 / step)
  271:  E[2-UpCCGSD] = -74.729404900069  <S**2> = 0.000000000000003  CPU Time =  1.30 (0.09 / step)
  272:  E[2-UpCCGSD] = -74.729406730801  <S**2> = 0.000000000000001  CPU Time =  1.30 (0.09 / step)
  273:  E[2-UpCCGSD] = -74.729409104474  <S**2> = 0.000000000000002  CPU Time =  1.29 (0.09 / step)
  274:  E[2-UpCCGSD] = -74.729410848186  <S**2> =-0.000000000000000  CPU Time =  1.30 (0.09 / step)
  275:  E[2-UpCCGSD] = -74.729412299984  <S**2> = 0.000000000000005  CPU Time =  1.30 (0.09 / step)
  276:  E[2-UpCCGSD] = -74.729414516452  <S**2> =-0.000000000000001  CPU Time =  1.30 (0.09 / step)
  277:  E[2-UpCCGSD] = -74.729415863507  <S**2> = 0.000000000000003  CPU Time =  1.30 (0.09 / step)
  278:  E[2-UpCCGSD] = -74.729418971282  <S**2> =-0.000000000000006  CPU Time =  1.31 (0.09 / step)
  279:  E[2-UpCCGSD] = -74.729420133137  <S**2> = 0.000000000000007  CPU Time =  1.30 (0.09 / step)
  280:  E[2-UpCCGSD] = -74.729421820336  <S**2> = 0.000000000000001  CPU Time =  1.31 (0.09 / step)
  281:  E[2-UpCCGSD] = -74.729423355725  <S**2> = 0.000000000000003  CPU Time =  1.30 (0.09 / step)
  282:  E[2-UpCCGSD] = -74.729425052271  <S**2> = 0.000000000000004  CPU Time =  1.30 (0.09 / step)
  283:  E[2-UpCCGSD] = -74.729426310396  <S**2> = 0.000000000000010  CPU Time =  1.30 (0.09 / step)
  284:  E[2-UpCCGSD] = -74.729428083816  <S**2> =-0.000000000000005  CPU Time =  1.30 (0.09 / step)
  285:  E[2-UpCCGSD] = -74.729430065630  <S**2> =-0.000000000000002  CPU Time =  1.30 (0.09 / step)
  286:  E[2-UpCCGSD] = -74.729431441291  <S**2> = 0.000000000000000  CPU Time =  1.30 (0.09 / step)
  287:  E[2-UpCCGSD] = -74.729432976853  <S**2> = 0.000000000000000  CPU Time =  1.30 (0.09 / step)
  288:  E[2-UpCCGSD] = -74.729434929934  <S**2> = 0.000000000000002  CPU Time =  1.30 (0.09 / step)
  289:  E[2-UpCCGSD] = -74.729437278808  <S**2> = 0.000000000000002  CPU Time =  1.30 (0.09 / step)
  290:  E[2-UpCCGSD] = -74.729438051647  <S**2> = 0.000000000000004  CPU Time =  1.31 (0.09 / step)
  291:  E[2-UpCCGSD] = -74.729438880801  <S**2> =-0.000000000000004  CPU Time =  1.30 (0.09 / step)
  292:  E[2-UpCCGSD] = -74.729439475668  <S**2> =-0.000000000000002  CPU Time =  1.31 (0.09 / step)
  293:  E[2-UpCCGSD] = -74.729440188672  <S**2> =-0.000000000000006  CPU Time =  1.30 (0.09 / step)
  294:  E[2-UpCCGSD] = -74.729440589662  <S**2> = 0.000000000000004  CPU Time =  1.30 (0.09 / step)
  295:  E[2-UpCCGSD] = -74.729441248288  <S**2> =-0.000000000000001  CPU Time =  1.30 (0.09 / step)
  296:  E[2-UpCCGSD] = -74.729441338178  <S**2> = 0.000000000000006  CPU Time =  1.30 (0.09 / step)
  297:  E[2-UpCCGSD] = -74.729441896886  <S**2> =-0.000000000000002  CPU Time =  1.30 (0.09 / step)
  298:  E[2-UpCCGSD] = -74.729442067054  <S**2> = 0.000000000000000  CPU Time =  1.30 (0.09 / step)
  299:  E[2-UpCCGSD] = -74.729442564882  <S**2> =-0.000000000000001  CPU Time =  1.30 (0.09 / step)
  300:  E[2-UpCCGSD] = -74.729443528106  <S**2> = 0.000000000000000  CPU Time =  1.30 (0.09 / step)
  301:  E[2-UpCCGSD] = -74.729444942201  <S**2> = 0.000000000000004  CPU Time =  1.30 (0.09 / step)
  302:  E[2-UpCCGSD] = -74.729446511966  <S**2> =-0.000000000000001  CPU Time =  1.31 (0.09 / step)
  303:  E[2-UpCCGSD] = -74.729447368550  <S**2> = 0.000000000000003  CPU Time =  1.30 (0.09 / step)
  304:  E[2-UpCCGSD] = -74.729448320134  <S**2> = 0.000000000000002  CPU Time =  1.30 (0.09 / step)
  305:  E[2-UpCCGSD] = -74.729448999424  <S**2> = 0.000000000000006  CPU Time =  1.30 (0.09 / step)
  306:  E[2-UpCCGSD] = -74.729449725512  <S**2> = 0.000000000000002  CPU Time =  1.31 (0.09 / step)
  307:  E[2-UpCCGSD] = -74.729450464103  <S**2> = 0.000000000000005  CPU Time =  1.30 (0.09 / step)
  308:  E[2-UpCCGSD] = -74.729451023121  <S**2> =-0.000000000000008  CPU Time =  1.30 (0.09 / step)
  309:  E[2-UpCCGSD] = -74.729451495222  <S**2> =-0.000000000000001  CPU Time =  1.30 (0.09 / step)
  310:  E[2-UpCCGSD] = -74.729451930189  <S**2> = 0.000000000000000  CPU Time =  1.30 (0.09 / step)
  311:  E[2-UpCCGSD] = -74.729452444709  <S**2> = 0.000000000000001  CPU Time =  1.30 (0.09 / step)
  312:  E[2-UpCCGSD] = -74.729453519215  <S**2> = 0.000000000000001  CPU Time =  1.30 (0.09 / step)
  313:  E[2-UpCCGSD] = -74.729454625584  <S**2> = 0.000000000000002  CPU Time =  1.31 (0.09 / step)
  314:  E[2-UpCCGSD] = -74.729455198163  <S**2> = 0.000000000000001  CPU Time =  1.30 (0.09 / step)
  315:  E[2-UpCCGSD] = -74.729455497564  <S**2> = 0.000000000000001  CPU Time =  1.31 (0.09 / step)
  316:  E[2-UpCCGSD] = -74.729455668017  <S**2> = 0.000000000000003  CPU Time =  2.51 (0.09 / step)
  317:  E[2-UpCCGSD] = -74.729456575830  <S**2> = 0.000000000000002  CPU Time =  1.31 (0.09 / step)
  318:  E[2-UpCCGSD] = -74.729457390311  <S**2> = 0.000000000000002  CPU Time =  1.30 (0.09 / step)
  319:  E[2-UpCCGSD] = -74.729457958048  <S**2> = 0.000000000000002  CPU Time =  1.30 (0.09 / step)
  320:  E[2-UpCCGSD] = -74.729458339702  <S**2> = 0.000000000000004  CPU Time =  1.30 (0.09 / step)
  321:  E[2-UpCCGSD] = -74.729458631964  <S**2> = 0.000000000000004  CPU Time =  1.30 (0.09 / step)
  322:  E[2-UpCCGSD] = -74.729458909606  <S**2> =-0.000000000000001  CPU Time =  2.52 (0.09 / step)
  323:  E[2-UpCCGSD] = -74.729459447406  <S**2> = 0.000000000000004  CPU Time =  1.30 (0.09 / step)
  324:  E[2-UpCCGSD] = -74.729460365769  <S**2> =-0.000000000000004  CPU Time =  1.30 (0.09 / step)
  325:  E[2-UpCCGSD] = -74.729460756351  <S**2> =-0.000000000000003  CPU Time =  1.30 (0.09 / step)
  326:  E[2-UpCCGSD] = -74.729461415790  <S**2> = 0.000000000000001  CPU Time =  1.31 (0.09 / step)
  327:  E[2-UpCCGSD] = -74.729462164348  <S**2> = 0.000000000000002  CPU Time =  1.30 (0.09 / step)
  328:  E[2-UpCCGSD] = -74.729462665208  <S**2> = 0.000000000000003  CPU Time =  1.30 (0.09 / step)
  329:  E[2-UpCCGSD] = -74.729463788398  <S**2> = 0.000000000000001  CPU Time =  1.31 (0.09 / step)
  330:  E[2-UpCCGSD] = -74.729464910518  <S**2> = 0.000000000000002  CPU Time =  1.30 (0.09 / step)
  331:  E[2-UpCCGSD] = -74.729465627830  <S**2> =-0.000000000000004  CPU Time =  1.30 (0.09 / step)
  332:  E[2-UpCCGSD] = -74.729466960705  <S**2> = 0.000000000000005  CPU Time =  1.30 (0.09 / step)
  333:  E[2-UpCCGSD] = -74.729467813916  <S**2> =-0.000000000000002  CPU Time =  1.31 (0.09 / step)
  334:  E[2-UpCCGSD] = -74.729468581048  <S**2> =-0.000000000000008  CPU Time =  1.30 (0.09 / step)
  335:  E[2-UpCCGSD] = -74.729469385622  <S**2> =-0.000000000000004  CPU Time =  1.30 (0.09 / step)
  336:  E[2-UpCCGSD] = -74.729470014310  <S**2> = 0.000000000000005  CPU Time =  1.30 (0.09 / step)
  337:  E[2-UpCCGSD] = -74.729470543761  <S**2> =-0.000000000000001  CPU Time =  1.30 (0.09 / step)
  338:  E[2-UpCCGSD] = -74.729470968509  <S**2> = 0.000000000000001  CPU Time =  1.30 (0.09 / step)
  339:  E[2-UpCCGSD] = -74.729471716042  <S**2> =-0.000000000000003  CPU Time =  1.30 (0.09 / step)
  340:  E[2-UpCCGSD] = -74.729472619421  <S**2> =-0.000000000000004  CPU Time =  1.30 (0.09 / step)
  341:  E[2-UpCCGSD] = -74.729472993030  <S**2> =-0.000000000000000  CPU Time =  1.31 (0.09 / step)
  342:  E[2-UpCCGSD] = -74.729473337877  <S**2> =-0.000000000000003  CPU Time =  2.51 (0.09 / step)
  343:  E[2-UpCCGSD] = -74.729474200027  <S**2> =-0.000000000000001  CPU Time =  1.31 (0.09 / step)
  344:  E[2-UpCCGSD] = -74.729474590895  <S**2> =-0.000000000000003  CPU Time =  1.30 (0.09 / step)
  345:  E[2-UpCCGSD] = -74.729474967945  <S**2> = 0.000000000000004  CPU Time =  1.30 (0.09 / step)
  346:  E[2-UpCCGSD] = -74.729475281913  <S**2> =-0.000000000000006  CPU Time =  1.30 (0.09 / step)
  347:  E[2-UpCCGSD] = -74.729475713377  <S**2> =-0.000000000000002  CPU Time =  1.30 (0.09 / step)
  348:  E[2-UpCCGSD] = -74.729476307348  <S**2> =-0.000000000000002  CPU Time =  1.30 (0.09 / step)
  349:  E[2-UpCCGSD] = -74.729476843920  <S**2> = 0.000000000000003  CPU Time =  1.30 (0.09 / step)
  350:  E[2-UpCCGSD] = -74.729477496445  <S**2> = 0.000000000000001  CPU Time =  1.31 (0.09 / step)
  351:  E[2-UpCCGSD] = -74.729477919271  <S**2> =-0.000000000000001  CPU Time =  1.30 (0.09 / step)
  352:  E[2-UpCCGSD] = -74.729478239175  <S**2> = 0.000000000000003  CPU Time =  1.30 (0.09 / step)
  353:  E[2-UpCCGSD] = -74.729478593843  <S**2> = 0.000000000000001  CPU Time =  1.30 (0.09 / step)
  354:  E[2-UpCCGSD] = -74.729478912261  <S**2> =-0.000000000000001  CPU Time =  1.30 (0.09 / step)
  355:  E[2-UpCCGSD] = -74.729479181922  <S**2> =-0.000000000000002  CPU Time =  1.30 (0.09 / step)
  356:  E[2-UpCCGSD] = -74.729479328239  <S**2> = 0.000000000000002  CPU Time =  1.30 (0.09 / step)
  357:  E[2-UpCCGSD] = -74.729479592552  <S**2> =-0.000000000000001  CPU Time =  1.30 (0.09 / step)
  358:  E[2-UpCCGSD] = -74.729479772486  <S**2> = 0.000000000000002  CPU Time =  1.30 (0.09 / step)
  359:  E[2-UpCCGSD] = -74.729479930388  <S**2> =-0.000000000000003  CPU Time =  2.50 (0.09 / step)
  360:  E[2-UpCCGSD] = -74.729480068762  <S**2> =-0.000000000000001  CPU Time =  1.30 (0.09 / step)
  361:  E[2-UpCCGSD] = -74.729480165622  <S**2> = 0.000000000000001  CPU Time =  1.30 (0.09 / step)
  362:  E[2-UpCCGSD] = -74.729480357914  <S**2> =-0.000000000000002  CPU Time =  2.51 (0.09 / step)
  363:  E[2-UpCCGSD] = -74.729480566914  <S**2> =-0.000000000000001  CPU Time =  1.30 (0.09 / step)
  364:  E[2-UpCCGSD] = -74.729480835837  <S**2> =-0.000000000000004  CPU Time =  1.30 (0.09 / step)
  365:  E[2-UpCCGSD] = -74.729481029645  <S**2> = 0.000000000000003  CPU Time =  1.31 (0.09 / step)
  366:  E[2-UpCCGSD] = -74.729481281617  <S**2> =-0.000000000000000  CPU Time =  1.30 (0.09 / step)
  367:  E[2-UpCCGSD] = -74.729481394204  <S**2> =-0.000000000000006  CPU Time =  1.30 (0.09 / step)
  368:  E[2-UpCCGSD] = -74.729481646436  <S**2> =-0.000000000000006  CPU Time =  1.30 (0.09 / step)
  369:  E[2-UpCCGSD] = -74.729481838256  <S**2> = 0.000000000000001  CPU Time =  1.30 (0.09 / step)
  370:  E[2-UpCCGSD] = -74.729482056978  <S**2> = 0.000000000000007  CPU Time =  1.30 (0.09 / step)
  371:  E[2-UpCCGSD] = -74.729482308838  <S**2> =-0.000000000000000  CPU Time =  1.30 (0.09 / step)
  372:  E[2-UpCCGSD] = -74.729482393201  <S**2> = 0.000000000000003  CPU Time =  1.30 (0.09 / step)
  373:  E[2-UpCCGSD] = -74.729482502232  <S**2> =-0.000000000000002  CPU Time =  1.31 (0.09 / step)
  374:  E[2-UpCCGSD] = -74.729482689698  <S**2> = 0.000000000000000  CPU Time =  1.30 (0.09 / step)
  375:  E[2-UpCCGSD] = -74.729483008845  <S**2> =-0.000000000000003  CPU Time =  1.31 (0.09 / step)
  376:  E[2-UpCCGSD] = -74.729483360373  <S**2> =-0.000000000000007  CPU Time =  1.30 (0.09 / step)
  377:  E[2-UpCCGSD] = -74.729483536486  <S**2> = 0.000000000000003  CPU Time =  1.31 (0.09 / step)
  378:  E[2-UpCCGSD] = -74.729483760549  <S**2> = 0.000000000000002  CPU Time =  1.30 (0.09 / step)
  379:  E[2-UpCCGSD] = -74.729483908547  <S**2> = 0.000000000000002  CPU Time =  1.30 (0.09 / step)
  380:  E[2-UpCCGSD] = -74.729484050793  <S**2> =-0.000000000000003  CPU Time =  2.52 (0.09 / step)
  381:  E[2-UpCCGSD] = -74.729484326334  <S**2> = 0.000000000000005  CPU Time =  1.30 (0.09 / step)
  382:  E[2-UpCCGSD] = -74.729484592680  <S**2> =-0.000000000000005  CPU Time =  1.30 (0.09 / step)
  383:  E[2-UpCCGSD] = -74.729484860397  <S**2> =-0.000000000000001  CPU Time =  1.31 (0.09 / step)
  384:  E[2-UpCCGSD] = -74.729485209623  <S**2> =-0.000000000000005  CPU Time =  1.30 (0.09 / step)
  385:  E[2-UpCCGSD] = -74.729485264391  <S**2> = 0.000000000000003  CPU Time =  1.30 (0.09 / step)
Final:  E[2-UpCCGSD] = -74.729485264391  <S**2> = 0.000000000000003  rho = 1

(2-UpCCGSD state)
 Basis       Coef
|00000000001111> : +0.7260 +0.0000j
|00000000110011> : -0.6637 +0.0000j

Dipole moment (in Debye) :
x = -0.00019     y = 0.00028    z = 0.00017
| mu | = 0.00038

 Done: CPU Time =         523.4541
End at 2021-02-02 17:54:27.817279
